3_rcv_count, 5_rcv_count, 7_rcv_count, 51_rcv_count, slot1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12: 733 733 732 732 0 0 0 491 211 29 1 0 0 0 0 0
3_rcv_count, 5_rcv_count, 7_rcv_count, 51_rcv_count, slot1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12: 734 734 733 733 0 0 0 515 179 37 2 0 0 0 0 0
3_rcv_count, 5_rcv_count, 7_rcv_count, 51_rcv_count, slot1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12: 734 733 732 731 0 0 0 523 171 34 3 0 0 0 0 0
3_rcv_count, 5_rcv_count, 7_rcv_count, 51_rcv_count, slot1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12: 734 733 730 729 0 0 0 487 206 33 3 0 0 0 0 0
3_rcv_count, 5_rcv_count, 7_rcv_count, 51_rcv_count, slot1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12: 733 733 731 730 0 0 0 482 215 31 2 0 0 0 0 0
3_rcv_count, 5_rcv_count, 7_rcv_count, 51_rcv_count, slot1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12: 733 731 731 731 0 0 0 534 165 28 4 0 0 0 0 0
3_rcv_count, 5_rcv_count, 7_rcv_count, 51_rcv_count, slot1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12: 733 731 731 729 0 0 0 525 172 30 2 0 0 0 0 0
3_rcv_count, 5_rcv_count, 7_rcv_count, 51_rcv_count, slot1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12: 733 732 732 732 0 0 0 504 192 30 5 1 0 0 0 0
3_rcv_count, 5_rcv_count, 7_rcv_count, 51_rcv_count, slot1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12: 732 731 731 731 0 0 0 517 193 20 1 0 0 0 0 0
3_rcv_count, 5_rcv_count, 7_rcv_count, 51_rcv_count, slot1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12: 734 733 733 733 0 0 0 484 214 30 5 0 0 0 0 0
3_rcv_count, 5_rcv_count, 7_rcv_count, 51_rcv_count, slot1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12: 734 733 732 731 0 0 0 523 181 26 1 0 0 0 0 0
3_rcv_count, 5_rcv_count, 7_rcv_count, 51_rcv_count, slot1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12: 732 731 729 729 0 0 0 503 194 30 2 0 0 0 0 0
