Each Task Period:[119, 6]

Task1- MissCount, TotalTxCount: 1 840
Task2- MissCount, TotalTxCount: 121 16665
Task1- MissCount, TotalTxCount: 3 840
Task2- MissCount, TotalTxCount: 135 16665
Task1- MissCount, TotalTxCount: 3 840
Task2- MissCount, TotalTxCount: 149 16665
Task1- MissCount, TotalTxCount: 2 840
Task2- MissCount, TotalTxCount: 127 16665
Task1- MissCount, TotalTxCount: 3 840
Task2- MissCount, TotalTxCount: 150 16665
Task1- MissCount, TotalTxCount: 1 840
Task2- MissCount, TotalTxCount: 145 16665
Task1- MissCount, TotalTxCount: 4 840
Task2- MissCount, TotalTxCount: 144 16665
Task1- MissCount, TotalTxCount: 4 840
Task2- MissCount, TotalTxCount: 147 16665
Task1- MissCount, TotalTxCount: 5 840
Task2- MissCount, TotalTxCount: 120 16665
Task1- MissCount, TotalTxCount: 1 840
Task2- MissCount, TotalTxCount: 130 16665
Task1- MissCount, TotalTxCount: 1 840
Task2- MissCount, TotalTxCount: 137 16665
Task1- MissCount, TotalTxCount: 2 840
Task2- MissCount, TotalTxCount: 148 16665
Task1- MissCount, TotalTxCount: 2 840
Task2- MissCount, TotalTxCount: 133 16665
Task1- MissCount, TotalTxCount: 2 840
Task2- MissCount, TotalTxCount: 128 16665
Task1- MissCount, TotalTxCount: 1 840
Task2- MissCount, TotalTxCount: 141 16665
Task1- MissCount, TotalTxCount: 3 840
Task2- MissCount, TotalTxCount: 116 16665
Task1- MissCount, TotalTxCount: 3 840
Task2- MissCount, TotalTxCount: 120 16665
Task1- MissCount, TotalTxCount: 3 840
Task2- MissCount, TotalTxCount: 140 16665
Task1- MissCount, TotalTxCount: 3 840
Task2- MissCount, TotalTxCount: 139 16665
Task1- MissCount, TotalTxCount: 2 840
Task2- MissCount, TotalTxCount: 140 16665
Task1- MissCount, TotalTxCount: 6 840
Task2- MissCount, TotalTxCount: 133 16665
Task1- MissCount, TotalTxCount: 3 840
Task2- MissCount, TotalTxCount: 153 16665
Task1- MissCount, TotalTxCount: 2 840
Task2- MissCount, TotalTxCount: 160 16665
Task1- MissCount, TotalTxCount: 5 840
Task2- MissCount, TotalTxCount: 151 16665
Task1- MissCount, TotalTxCount: 3 840
Task2- MissCount, TotalTxCount: 116 16665
Task1- MissCount, TotalTxCount: 4 840
Task2- MissCount, TotalTxCount: 158 16665
Task1- MissCount, TotalTxCount: 3 840
Task2- MissCount, TotalTxCount: 138 16665
Task1- MissCount, TotalTxCount: 2 840
Task2- MissCount, TotalTxCount: 127 16665
Task1- MissCount, TotalTxCount: 5 840
Task2- MissCount, TotalTxCount: 141 16665
Task1- MissCount, TotalTxCount: 3 840
Task2- MissCount, TotalTxCount: 148 16665
Task1- MissCount, TotalTxCount: 2 840
Task2- MissCount, TotalTxCount: 152 16665
Task1- MissCount, TotalTxCount: 3 840
Task2- MissCount, TotalTxCount: 117 16665
Task1- MissCount, TotalTxCount: 3 840
Task2- MissCount, TotalTxCount: 136 16665
Task1- MissCount, TotalTxCount: 0 840
Task2- MissCount, TotalTxCount: 147 16665
Task1- MissCount, TotalTxCount: 1 840
Task2- MissCount, TotalTxCount: 133 16665
Task1- MissCount, TotalTxCount: 1 840
Task2- MissCount, TotalTxCount: 151 16665
Task1- MissCount, TotalTxCount: 2 840
Task2- MissCount, TotalTxCount: 117 16665
Task1- MissCount, TotalTxCount: 7 840
Task2- MissCount, TotalTxCount: 134 16665
Task1- MissCount, TotalTxCount: 5 840
Task2- MissCount, TotalTxCount: 143 16665
Task1- MissCount, TotalTxCount: 3 840
Task2- MissCount, TotalTxCount: 133 16665
Task1- MissCount, TotalTxCount: 3 840
Task2- MissCount, TotalTxCount: 147 16665
Task1- MissCount, TotalTxCount: 3 840
Task2- MissCount, TotalTxCount: 142 16665
Task1- MissCount, TotalTxCount: 4 840
Task2- MissCount, TotalTxCount: 127 16665
Task1- MissCount, TotalTxCount: 2 840
Task2- MissCount, TotalTxCount: 137 16665
Task1- MissCount, TotalTxCount: 5 840
Task2- MissCount, TotalTxCount: 149 16665
Task1- MissCount, TotalTxCount: 1 840
Task2- MissCount, TotalTxCount: 137 16665
Task1- MissCount, TotalTxCount: 5 840
Task2- MissCount, TotalTxCount: 138 16665
Task1- MissCount, TotalTxCount: 5 840
Task2- MissCount, TotalTxCount: 130 16665
Task1- MissCount, TotalTxCount: 4 840
Task2- MissCount, TotalTxCount: 124 16665
Task1- MissCount, TotalTxCount: 4 840
Task2- MissCount, TotalTxCount: 151 16665
Task1- MissCount, TotalTxCount: 0 840
Task2- MissCount, TotalTxCount: 130 16665
Task1- MissCount, TotalTxCount: 5 840
Task2- MissCount, TotalTxCount: 121 16665
Task1- MissCount, TotalTxCount: 2 840
Task2- MissCount, TotalTxCount: 132 16665
Task1- MissCount, TotalTxCount: 4 840
Task2- MissCount, TotalTxCount: 125 16665
Task1- MissCount, TotalTxCount: 4 840
Task2- MissCount, TotalTxCount: 141 16665
Task1- MissCount, TotalTxCount: 6 840
Task2- MissCount, TotalTxCount: 127 16665
Task1- MissCount, TotalTxCount: 4 840
Task2- MissCount, TotalTxCount: 122 16665
Task1- MissCount, TotalTxCount: 2 840
Task2- MissCount, TotalTxCount: 144 16665
Task1- MissCount, TotalTxCount: 2 840
Task2- MissCount, TotalTxCount: 144 16665
Task1- MissCount, TotalTxCount: 3 840
Task2- MissCount, TotalTxCount: 144 16665
Task1- MissCount, TotalTxCount: 3 840
Task2- MissCount, TotalTxCount: 126 16665
Task1- MissCount, TotalTxCount: 2 840
Task2- MissCount, TotalTxCount: 132 16665
Task1- MissCount, TotalTxCount: 2 840
Task2- MissCount, TotalTxCount: 120 16665
Task1- MissCount, TotalTxCount: 1 840
Task2- MissCount, TotalTxCount: 122 16665
Task1- MissCount, TotalTxCount: 3 840
Task2- MissCount, TotalTxCount: 133 16665
Task1- MissCount, TotalTxCount: 1 840
Task2- MissCount, TotalTxCount: 143 16665
Task1- MissCount, TotalTxCount: 7 840
Task2- MissCount, TotalTxCount: 156 16665
Task1- MissCount, TotalTxCount: 1 840
Task2- MissCount, TotalTxCount: 140 16665
Task1- MissCount, TotalTxCount: 0 840
Task2- MissCount, TotalTxCount: 133 16665
Task1- MissCount, TotalTxCount: 4 840
Task2- MissCount, TotalTxCount: 135 16665
Task1- MissCount, TotalTxCount: 5 840
Task2- MissCount, TotalTxCount: 130 16665
Task1- MissCount, TotalTxCount: 1 840
Task2- MissCount, TotalTxCount: 122 16665
Task1- MissCount, TotalTxCount: 3 840
Task2- MissCount, TotalTxCount: 154 16665
Task1- MissCount, TotalTxCount: 2 840
Task2- MissCount, TotalTxCount: 134 16665
Task1- MissCount, TotalTxCount: 1 840
Task2- MissCount, TotalTxCount: 139 16665
Task1- MissCount, TotalTxCount: 4 840
Task2- MissCount, TotalTxCount: 122 16665
Task1- MissCount, TotalTxCount: 2 840
Task2- MissCount, TotalTxCount: 146 16665
Task1- MissCount, TotalTxCount: 3 840
Task2- MissCount, TotalTxCount: 125 16665
Task1- MissCount, TotalTxCount: 3 840
Task2- MissCount, TotalTxCount: 137 16665
Task1- MissCount, TotalTxCount: 3 840
Task2- MissCount, TotalTxCount: 149 16665
Task1- MissCount, TotalTxCount: 3 840
Task2- MissCount, TotalTxCount: 126 16665
Task1- MissCount, TotalTxCount: 1 840
Task2- MissCount, TotalTxCount: 135 16665
Task1- MissCount, TotalTxCount: 3 840
Task2- MissCount, TotalTxCount: 149 16665
Task1- MissCount, TotalTxCount: 3 840
Task2- MissCount, TotalTxCount: 143 16665
Task1- MissCount, TotalTxCount: 2 840
Task2- MissCount, TotalTxCount: 132 16665
Task1- MissCount, TotalTxCount: 4 840
Task2- MissCount, TotalTxCount: 129 16665
Task1- MissCount, TotalTxCount: 3 840
Task2- MissCount, TotalTxCount: 132 16665
Task1- MissCount, TotalTxCount: 6 840
Task2- MissCount, TotalTxCount: 136 16665
Task1- MissCount, TotalTxCount: 2 840
Task2- MissCount, TotalTxCount: 141 16665
Task1- MissCount, TotalTxCount: 5 840
Task2- MissCount, TotalTxCount: 153 16665
Task1- MissCount, TotalTxCount: 1 840
Task2- MissCount, TotalTxCount: 128 16665
Task1- MissCount, TotalTxCount: 3 840
Task2- MissCount, TotalTxCount: 120 16665
Task1- MissCount, TotalTxCount: 2 840
Task2- MissCount, TotalTxCount: 134 16665
Task1- MissCount, TotalTxCount: 3 840
Task2- MissCount, TotalTxCount: 151 16665
Task1- MissCount, TotalTxCount: 2 840
Task2- MissCount, TotalTxCount: 135 16665
Task1- MissCount, TotalTxCount: 2 840
Task2- MissCount, TotalTxCount: 137 16665
Task1- MissCount, TotalTxCount: 3 840
Task2- MissCount, TotalTxCount: 131 16665
Task1- MissCount, TotalTxCount: 4 840
Task2- MissCount, TotalTxCount: 144 16665
Task1- MissCount, TotalTxCount: 1 840
Task2- MissCount, TotalTxCount: 127 16665
Task1- MissCount, TotalTxCount: 5 840
Task2- MissCount, TotalTxCount: 135 16665
