Each Task Period:[261, 6]

Task1- MissCount, TotalTxCount: 0 382
Task2- MissCount, TotalTxCount: 74 16665
Task1- MissCount, TotalTxCount: 2 382
Task2- MissCount, TotalTxCount: 73 16665
Task1- MissCount, TotalTxCount: 4 382
Task2- MissCount, TotalTxCount: 78 16665
Task1- MissCount, TotalTxCount: 1 382
Task2- MissCount, TotalTxCount: 82 16665
Task1- MissCount, TotalTxCount: 0 382
Task2- MissCount, TotalTxCount: 87 16665
Task1- MissCount, TotalTxCount: 1 382
Task2- MissCount, TotalTxCount: 77 16665
Task1- MissCount, TotalTxCount: 1 382
Task2- MissCount, TotalTxCount: 73 16665
Task1- MissCount, TotalTxCount: 0 382
Task2- MissCount, TotalTxCount: 86 16665
Task1- MissCount, TotalTxCount: 0 382
Task2- MissCount, TotalTxCount: 75 16665
Task1- MissCount, TotalTxCount: 1 382
Task2- MissCount, TotalTxCount: 62 16665
Task1- MissCount, TotalTxCount: 2 382
Task2- MissCount, TotalTxCount: 72 16665
Task1- MissCount, TotalTxCount: 3 382
Task2- MissCount, TotalTxCount: 62 16665
Task1- MissCount, TotalTxCount: 0 382
Task2- MissCount, TotalTxCount: 68 16665
Task1- MissCount, TotalTxCount: 0 382
Task2- MissCount, TotalTxCount: 87 16665
Task1- MissCount, TotalTxCount: 4 382
Task2- MissCount, TotalTxCount: 79 16665
Task1- MissCount, TotalTxCount: 2 382
Task2- MissCount, TotalTxCount: 56 16665
Task1- MissCount, TotalTxCount: 0 382
Task2- MissCount, TotalTxCount: 68 16665
Task1- MissCount, TotalTxCount: 2 382
Task2- MissCount, TotalTxCount: 74 16665
Task1- MissCount, TotalTxCount: 1 382
Task2- MissCount, TotalTxCount: 67 16665
Task1- MissCount, TotalTxCount: 2 382
Task2- MissCount, TotalTxCount: 75 16665
Task1- MissCount, TotalTxCount: 2 382
Task2- MissCount, TotalTxCount: 75 16665
Task1- MissCount, TotalTxCount: 3 382
Task2- MissCount, TotalTxCount: 63 16665
Task1- MissCount, TotalTxCount: 1 382
Task2- MissCount, TotalTxCount: 81 16665
Task1- MissCount, TotalTxCount: 1 382
Task2- MissCount, TotalTxCount: 72 16665
Task1- MissCount, TotalTxCount: 0 382
Task2- MissCount, TotalTxCount: 86 16665
Task1- MissCount, TotalTxCount: 0 382
Task2- MissCount, TotalTxCount: 79 16665
Task1- MissCount, TotalTxCount: 1 382
Task2- MissCount, TotalTxCount: 73 16665
Task1- MissCount, TotalTxCount: 1 382
Task2- MissCount, TotalTxCount: 70 16665
Task1- MissCount, TotalTxCount: 0 382
Task2- MissCount, TotalTxCount: 72 16665
Task1- MissCount, TotalTxCount: 0 382
Task2- MissCount, TotalTxCount: 74 16665
Task1- MissCount, TotalTxCount: 2 382
Task2- MissCount, TotalTxCount: 75 16665
Task1- MissCount, TotalTxCount: 0 382
Task2- MissCount, TotalTxCount: 79 16665
Task1- MissCount, TotalTxCount: 1 382
Task2- MissCount, TotalTxCount: 74 16665
Task1- MissCount, TotalTxCount: 2 382
Task2- MissCount, TotalTxCount: 80 16665
Task1- MissCount, TotalTxCount: 1 382
Task2- MissCount, TotalTxCount: 75 16665
Task1- MissCount, TotalTxCount: 0 382
Task2- MissCount, TotalTxCount: 67 16665
Task1- MissCount, TotalTxCount: 0 382
Task2- MissCount, TotalTxCount: 79 16665
Task1- MissCount, TotalTxCount: 2 382
Task2- MissCount, TotalTxCount: 75 16665
Task1- MissCount, TotalTxCount: 2 382
Task2- MissCount, TotalTxCount: 80 16665
Task1- MissCount, TotalTxCount: 1 382
Task2- MissCount, TotalTxCount: 75 16665
Task1- MissCount, TotalTxCount: 2 382
Task2- MissCount, TotalTxCount: 62 16665
Task1- MissCount, TotalTxCount: 2 382
Task2- MissCount, TotalTxCount: 86 16665
Task1- MissCount, TotalTxCount: 0 382
Task2- MissCount, TotalTxCount: 73 16665
Task1- MissCount, TotalTxCount: 1 382
Task2- MissCount, TotalTxCount: 90 16665
Task1- MissCount, TotalTxCount: 2 382
Task2- MissCount, TotalTxCount: 87 16665
Task1- MissCount, TotalTxCount: 1 382
Task2- MissCount, TotalTxCount: 70 16665
Task1- MissCount, TotalTxCount: 2 382
Task2- MissCount, TotalTxCount: 82 16665
Task1- MissCount, TotalTxCount: 0 382
Task2- MissCount, TotalTxCount: 79 16665
Task1- MissCount, TotalTxCount: 0 382
Task2- MissCount, TotalTxCount: 57 16665
Task1- MissCount, TotalTxCount: 0 382
Task2- MissCount, TotalTxCount: 59 16665
Task1- MissCount, TotalTxCount: 0 382
Task2- MissCount, TotalTxCount: 80 16665
Task1- MissCount, TotalTxCount: 2 382
Task2- MissCount, TotalTxCount: 59 16665
Task1- MissCount, TotalTxCount: 2 382
Task2- MissCount, TotalTxCount: 66 16665
Task1- MissCount, TotalTxCount: 1 382
Task2- MissCount, TotalTxCount: 59 16665
Task1- MissCount, TotalTxCount: 1 382
Task2- MissCount, TotalTxCount: 59 16665
Task1- MissCount, TotalTxCount: 2 382
Task2- MissCount, TotalTxCount: 79 16665
Task1- MissCount, TotalTxCount: 1 382
Task2- MissCount, TotalTxCount: 73 16665
Task1- MissCount, TotalTxCount: 1 382
Task2- MissCount, TotalTxCount: 80 16665
Task1- MissCount, TotalTxCount: 2 382
Task2- MissCount, TotalTxCount: 89 16665
Task1- MissCount, TotalTxCount: 2 382
Task2- MissCount, TotalTxCount: 95 16665
Task1- MissCount, TotalTxCount: 2 382
Task2- MissCount, TotalTxCount: 76 16665
Task1- MissCount, TotalTxCount: 3 382
Task2- MissCount, TotalTxCount: 72 16665
Task1- MissCount, TotalTxCount: 2 382
Task2- MissCount, TotalTxCount: 84 16665
Task1- MissCount, TotalTxCount: 2 382
Task2- MissCount, TotalTxCount: 74 16665
Task1- MissCount, TotalTxCount: 2 382
Task2- MissCount, TotalTxCount: 84 16665
Task1- MissCount, TotalTxCount: 0 382
Task2- MissCount, TotalTxCount: 60 16665
Task1- MissCount, TotalTxCount: 1 382
Task2- MissCount, TotalTxCount: 66 16665
Task1- MissCount, TotalTxCount: 1 382
Task2- MissCount, TotalTxCount: 79 16665
Task1- MissCount, TotalTxCount: 1 382
Task2- MissCount, TotalTxCount: 75 16665
Task1- MissCount, TotalTxCount: 2 382
Task2- MissCount, TotalTxCount: 69 16665
Task1- MissCount, TotalTxCount: 1 382
Task2- MissCount, TotalTxCount: 81 16665
Task1- MissCount, TotalTxCount: 1 382
Task2- MissCount, TotalTxCount: 65 16665
Task1- MissCount, TotalTxCount: 4 382
Task2- MissCount, TotalTxCount: 68 16665
Task1- MissCount, TotalTxCount: 2 382
Task2- MissCount, TotalTxCount: 71 16665
Task1- MissCount, TotalTxCount: 0 382
Task2- MissCount, TotalTxCount: 76 16665
Task1- MissCount, TotalTxCount: 1 382
Task2- MissCount, TotalTxCount: 68 16665
Task1- MissCount, TotalTxCount: 1 382
Task2- MissCount, TotalTxCount: 84 16665
Task1- MissCount, TotalTxCount: 0 382
Task2- MissCount, TotalTxCount: 83 16665
Task1- MissCount, TotalTxCount: 1 382
Task2- MissCount, TotalTxCount: 90 16665
Task1- MissCount, TotalTxCount: 2 382
Task2- MissCount, TotalTxCount: 83 16665
Task1- MissCount, TotalTxCount: 0 382
Task2- MissCount, TotalTxCount: 52 16665
Task1- MissCount, TotalTxCount: 0 382
Task2- MissCount, TotalTxCount: 71 16665
Task1- MissCount, TotalTxCount: 0 382
Task2- MissCount, TotalTxCount: 76 16665
Task1- MissCount, TotalTxCount: 2 382
Task2- MissCount, TotalTxCount: 76 16665
Task1- MissCount, TotalTxCount: 2 382
Task2- MissCount, TotalTxCount: 71 16665
Task1- MissCount, TotalTxCount: 1 382
Task2- MissCount, TotalTxCount: 92 16665
Task1- MissCount, TotalTxCount: 1 382
Task2- MissCount, TotalTxCount: 87 16665
Task1- MissCount, TotalTxCount: 2 382
Task2- MissCount, TotalTxCount: 77 16665
Task1- MissCount, TotalTxCount: 0 382
Task2- MissCount, TotalTxCount: 55 16665
Task1- MissCount, TotalTxCount: 2 382
Task2- MissCount, TotalTxCount: 79 16665
Task1- MissCount, TotalTxCount: 0 382
Task2- MissCount, TotalTxCount: 72 16665
Task1- MissCount, TotalTxCount: 1 382
Task2- MissCount, TotalTxCount: 87 16665
Task1- MissCount, TotalTxCount: 1 382
Task2- MissCount, TotalTxCount: 75 16665
Task1- MissCount, TotalTxCount: 1 382
Task2- MissCount, TotalTxCount: 76 16665
Task1- MissCount, TotalTxCount: 1 382
Task2- MissCount, TotalTxCount: 68 16665
Task1- MissCount, TotalTxCount: 1 382
Task2- MissCount, TotalTxCount: 72 16665
Task1- MissCount, TotalTxCount: 1 382
Task2- MissCount, TotalTxCount: 65 16665
Task1- MissCount, TotalTxCount: 1 382
Task2- MissCount, TotalTxCount: 82 16665
Task1- MissCount, TotalTxCount: 2 382
Task2- MissCount, TotalTxCount: 56 16665
Task1- MissCount, TotalTxCount: 2 382
Task2- MissCount, TotalTxCount: 79 16665
