Each Task Period:[12, 6]

Task1- MissCount, TotalTxCount: 29 8332
Task2- MissCount, TotalTxCount: 766 16665
Task1- MissCount, TotalTxCount: 24 8332
Task2- MissCount, TotalTxCount: 751 16665
Task1- MissCount, TotalTxCount: 29 8332
Task2- MissCount, TotalTxCount: 745 16665
Task1- MissCount, TotalTxCount: 27 8332
Task2- MissCount, TotalTxCount: 728 16665
Task1- MissCount, TotalTxCount: 24 8332
Task2- MissCount, TotalTxCount: 771 16665
Task1- MissCount, TotalTxCount: 30 8332
Task2- MissCount, TotalTxCount: 785 16665
Task1- MissCount, TotalTxCount: 24 8332
Task2- MissCount, TotalTxCount: 769 16665
Task1- MissCount, TotalTxCount: 18 8332
Task2- MissCount, TotalTxCount: 750 16665
Task1- MissCount, TotalTxCount: 26 8332
Task2- MissCount, TotalTxCount: 736 16665
Task1- MissCount, TotalTxCount: 21 8332
Task2- MissCount, TotalTxCount: 771 16665
Task1- MissCount, TotalTxCount: 27 8332
Task2- MissCount, TotalTxCount: 722 16665
Task1- MissCount, TotalTxCount: 35 8332
Task2- MissCount, TotalTxCount: 809 16665
Task1- MissCount, TotalTxCount: 30 8332
Task2- MissCount, TotalTxCount: 785 16665
Task1- MissCount, TotalTxCount: 29 8332
Task2- MissCount, TotalTxCount: 767 16665
Task1- MissCount, TotalTxCount: 32 8332
Task2- MissCount, TotalTxCount: 826 16665
Task1- MissCount, TotalTxCount: 28 8332
Task2- MissCount, TotalTxCount: 779 16665
Task1- MissCount, TotalTxCount: 19 8332
Task2- MissCount, TotalTxCount: 749 16665
Task1- MissCount, TotalTxCount: 31 8332
Task2- MissCount, TotalTxCount: 781 16665
Task1- MissCount, TotalTxCount: 24 8332
Task2- MissCount, TotalTxCount: 785 16665
Task1- MissCount, TotalTxCount: 26 8332
Task2- MissCount, TotalTxCount: 742 16665
Task1- MissCount, TotalTxCount: 26 8332
Task2- MissCount, TotalTxCount: 782 16665
Task1- MissCount, TotalTxCount: 23 8332
Task2- MissCount, TotalTxCount: 778 16665
Task1- MissCount, TotalTxCount: 30 8332
Task2- MissCount, TotalTxCount: 781 16665
Task1- MissCount, TotalTxCount: 40 8332
Task2- MissCount, TotalTxCount: 737 16665
Task1- MissCount, TotalTxCount: 33 8332
Task2- MissCount, TotalTxCount: 751 16665
Task1- MissCount, TotalTxCount: 20 8332
Task2- MissCount, TotalTxCount: 724 16665
Task1- MissCount, TotalTxCount: 26 8332
Task2- MissCount, TotalTxCount: 737 16665
Task1- MissCount, TotalTxCount: 26 8332
Task2- MissCount, TotalTxCount: 756 16665
Task1- MissCount, TotalTxCount: 30 8332
Task2- MissCount, TotalTxCount: 798 16665
Task1- MissCount, TotalTxCount: 31 8332
Task2- MissCount, TotalTxCount: 758 16665
Task1- MissCount, TotalTxCount: 20 8332
Task2- MissCount, TotalTxCount: 740 16665
Task1- MissCount, TotalTxCount: 26 8332
Task2- MissCount, TotalTxCount: 783 16665
Task1- MissCount, TotalTxCount: 30 8332
Task2- MissCount, TotalTxCount: 789 16665
Task1- MissCount, TotalTxCount: 19 8332
Task2- MissCount, TotalTxCount: 790 16665
Task1- MissCount, TotalTxCount: 21 8332
Task2- MissCount, TotalTxCount: 815 16665
Task1- MissCount, TotalTxCount: 27 8332
Task2- MissCount, TotalTxCount: 796 16665
Task1- MissCount, TotalTxCount: 26 8332
Task2- MissCount, TotalTxCount: 785 16665
Task1- MissCount, TotalTxCount: 39 8332
Task2- MissCount, TotalTxCount: 719 16665
Task1- MissCount, TotalTxCount: 22 8332
Task2- MissCount, TotalTxCount: 706 16665
Task1- MissCount, TotalTxCount: 28 8332
Task2- MissCount, TotalTxCount: 741 16665
Task1- MissCount, TotalTxCount: 26 8332
Task2- MissCount, TotalTxCount: 777 16665
Task1- MissCount, TotalTxCount: 21 8332
Task2- MissCount, TotalTxCount: 747 16665
Task1- MissCount, TotalTxCount: 25 8332
Task2- MissCount, TotalTxCount: 776 16665
Task1- MissCount, TotalTxCount: 25 8332
Task2- MissCount, TotalTxCount: 761 16665
Task1- MissCount, TotalTxCount: 25 8332
Task2- MissCount, TotalTxCount: 815 16665
Task1- MissCount, TotalTxCount: 24 8332
Task2- MissCount, TotalTxCount: 770 16665
Task1- MissCount, TotalTxCount: 34 8332
Task2- MissCount, TotalTxCount: 786 16665
Task1- MissCount, TotalTxCount: 30 8332
